speed_class,cell_type,vr_freq_cat,phase_values_for_norm_current,average_current,se_vchan,current_type
slow,V2aB,35,-0.15,0.599777293329685,0.029295227990048554,excitatory
slow,V2aB,35,-0.14,0.6114772476762069,0.028512470189984315,excitatory
slow,V2aB,35,-0.13,0.6233196190834601,0.028014017636611738,excitatory
slow,V2aB,35,-0.12,0.620588051506828,0.0304029532917762,excitatory
slow,V2aB,35,-0.11,0.6125311564176295,0.03254085077790605,excitatory
slow,V2aB,35,-0.1,0.6102206601906498,0.03288091523779321,excitatory
slow,V2aB,35,-0.09,0.6074735964980867,0.03115656458172954,excitatory
slow,V2aB,35,-0.08,0.6013162179860759,0.030826967912917058,excitatory
slow,V2aB,35,-0.07,0.5887538487878673,0.030932953141508835,excitatory
slow,V2aB,35,-0.0599999999999999,0.5775264018965356,0.030454844380253334,excitatory
slow,V2aB,35,-0.0499999999999999,0.5800451641169423,0.030959016950683586,excitatory
slow,V2aB,35,-0.04,0.577340141108685,0.031067596578924626,excitatory
slow,V2aB,35,-0.03,0.5771881750392707,0.03144737707021433,excitatory
slow,V2aB,35,-0.02,0.5692516205015393,0.030780340869956638,excitatory
slow,V2aB,35,-0.01,0.5542822531078424,0.02887440853446551,excitatory
slow,V2aB,35,0,0.5524929457202539,0.02732432115454892,excitatory
slow,V2aB,35,0.01,0.5530641988754043,0.027071350019841175,excitatory
slow,V2aB,35,0.02,0.5502811348969447,0.0270256667377155,excitatory
slow,V2aB,35,0.03,0.5414020916972149,0.027160433432311497,excitatory
slow,V2aB,35,0.04,0.5410553319886642,0.02852852293139415,excitatory
slow,V2aB,35,0.0499999999999999,0.5322867005898234,0.02733550819712973,excitatory
slow,V2aB,35,0.0599999999999999,0.5167478269055985,0.02589330788374877,excitatory
slow,V2aB,35,0.07,0.5004570400708924,0.02691855632432334,excitatory
slow,V2aB,35,0.08,0.4867760081522342,0.027534278894362368,excitatory
slow,V2aB,35,0.09,0.47699619402325033,0.026558191647774548,excitatory
slow,V2aB,35,0.1,0.47474246615276317,0.024251267057617217,excitatory
slow,V2aB,35,0.11,0.47805148864358027,0.024671358912450342,excitatory
slow,V2aB,35,0.12,0.4763106058855083,0.026343300318540885,excitatory
slow,V2aB,35,0.13,0.4757821725118194,0.025634733930069428,excitatory
slow,V2aB,35,0.14,0.46714603886677847,0.024127809815861146,excitatory
slow,V2aB,35,0.15,0.4609993093073211,0.022952618584949683,excitatory
slow,V2aB,35,0.16,0.44512314443801154,0.023652398577619346,excitatory
slow,V2aB,35,0.17,0.4268507485266062,0.025614142096961976,excitatory
slow,V2aB,35,0.18,0.4150872206178557,0.025523929478872574,excitatory
slow,V2aB,35,0.19,0.4007861551150006,0.025643611808237432,excitatory
slow,V2aB,35,0.2,0.39373163219762336,0.025291526941617678,excitatory
slow,V2aB,35,0.21,0.38877605278096594,0.024479821357691264,excitatory
slow,V2aB,35,0.22,0.37491546046633273,0.023610923342144704,excitatory
slow,V2aB,35,0.23,0.37293560157414646,0.022956798734896467,excitatory
slow,V2aB,35,0.24,0.37387903173843007,0.02268433317159221,excitatory
slow,V2aB,35,0.25,0.3684415883927939,0.023097881439396804,excitatory
slow,V2aB,35,0.26,0.3526102568149293,0.02316356153073945,excitatory
slow,V2aB,35,0.27,0.32619062277580696,0.02303173619418585,excitatory
slow,V2aB,35,0.28,0.31391989060619474,0.023526079228516388,excitatory
slow,V2aB,35,0.29,0.3125514671922804,0.024254192859503303,excitatory
slow,V2aB,35,0.3,0.3035303049502615,0.02459652639720684,excitatory
slow,V2aB,35,0.31,0.2844969285378915,0.022904770051996703,excitatory
slow,V2aB,35,0.32,0.2609931994276133,0.021027115717359726,excitatory
slow,V2aB,35,0.33,0.2567055131356991,0.022379344542400155,excitatory
slow,V2aB,35,0.34,0.2608878763362786,0.023430283481798573,excitatory
slow,V2aB,35,0.35,0.26863010760236194,0.02444201055198451,excitatory
slow,V2aB,35,0.36,0.2698393867757658,0.024190982562306097,excitatory
slow,V2aB,35,0.37,0.2649904631336479,0.023443860406937158,excitatory
slow,V2aB,35,0.38,0.26264320792439994,0.022475222310991864,excitatory
slow,V2aB,35,0.39,0.2607665106350317,0.021511819801301173,excitatory
slow,V2aB,35,0.4,0.2561062654308872,0.022493497909581123,excitatory
slow,V2aB,35,0.41,0.24497792118060177,0.023032630910409375,excitatory
slow,V2aB,35,0.42,0.24226808978648592,0.02407298302612628,excitatory
slow,V2aB,35,0.43,0.24270565954057324,0.024758378790722933,excitatory
slow,V2aB,35,0.44,0.23944408221143842,0.02559688257241755,excitatory
slow,V2aB,35,0.45,0.24170869794102778,0.026252146638800135,excitatory
slow,V2aB,35,0.46,0.23574829986824644,0.024914116266270953,excitatory
slow,V2aB,35,0.47,0.22878411215282748,0.02214447081167068,excitatory
slow,V2aB,35,0.48,0.22546389775933753,0.01995868967921661,excitatory
slow,V2aB,35,0.49,0.22900394907516072,0.021806381903169154,excitatory
slow,V2aB,35,0.5,0.23545800955863377,0.023925677045185726,excitatory
slow,V2aB,45+,-0.5,0.30107348572590364,0.049372081644636405,excitatory
slow,V2aB,45+,-0.49,0.30371100963274383,0.0463666296119764,excitatory
slow,V2aB,45+,-0.48,0.307922284796753,0.04268989896347715,excitatory
slow,V2aB,45+,-0.47,0.32203395560326764,0.03978878485198562,excitatory
slow,V2aB,45+,-0.46,0.34155863942234294,0.03909955215007413,excitatory
slow,V2aB,45+,-0.45,0.36310335488778045,0.04219229030021091,excitatory
slow,V2aB,45+,-0.44,0.3664630273891445,0.04420973880684086,excitatory
slow,V2aB,45+,-0.43,0.361061976474877,0.04216062364446945,excitatory
slow,V2aB,45+,-0.42,0.35197114738463486,0.04049011673141241,excitatory
slow,V2aB,45+,-0.41,0.34629023718476387,0.03928275004833809,excitatory
slow,V2aB,45+,-0.4,0.3440131026533856,0.03832322202494745,excitatory
slow,V2aB,45+,-0.39,0.3443120012848496,0.037673119630521425,excitatory
slow,V2aB,45+,-0.38,0.3512457164486924,0.03811421098828164,excitatory
slow,V2aB,45+,-0.37,0.35299469643796527,0.040526311305235416,excitatory
slow,V2aB,45+,-0.36,0.3671505487816546,0.04302253935041438,excitatory
slow,V2aB,45+,-0.35,0.3920087838187713,0.044963249827292856,excitatory
slow,V2aB,45+,-0.34,0.4114617575266142,0.04467767006557371,excitatory
slow,V2aB,45+,-0.33,0.41573399994598004,0.04416772532558605,excitatory
slow,V2aB,45+,-0.32,0.4191526555352674,0.043681271204538734,excitatory
slow,V2aB,45+,-0.31,0.4145623154034449,0.045939314966379576,excitatory
slow,V2aB,45+,-0.3,0.4143876160476305,0.04852343938643127,excitatory
slow,V2aB,45+,-0.29,0.43711025051220975,0.04987594864336432,excitatory
slow,V2aB,45+,-0.28,0.4674419197831069,0.049564772190019285,excitatory
slow,V2aB,45+,-0.27,0.4690162026203879,0.048447265570755335,excitatory
slow,V2aB,45+,-0.26,0.4688127467708001,0.04456567464321906,excitatory
slow,V2aB,45+,-0.25,0.4742322849406562,0.04262538301890523,excitatory
slow,V2aB,45+,-0.24,0.4650539659827076,0.04222577610327783,excitatory
slow,V2aB,45+,-0.23,0.45431029523539823,0.04375796870343791,excitatory
slow,V2aB,45+,-0.22,0.44859468016519977,0.043322397658137626,excitatory
slow,V2aB,45+,-0.21,0.4516211523792411,0.0420536133255648,excitatory
slow,V2aB,45+,-0.2,0.47015212275304197,0.04262877214148332,excitatory
slow,V2aB,45+,-0.19,0.49220430093705453,0.045639872238974505,excitatory
slow,V2aB,45+,-0.18,0.5131886900489461,0.0452094444013844,excitatory
slow,V2aB,45+,-0.17,0.5215104034041671,0.04258932597706887,excitatory
slow,V2aB,45+,-0.16,0.5328288068756603,0.04127018479701328,excitatory
slow,V2aB,45+,-0.15,0.5454791881609089,0.04302982827898648,excitatory
slow,V2aB,45+,-0.14,0.5602508867615251,0.045789654560414304,excitatory
slow,V2aB,45+,-0.13,0.5694977272525128,0.04932659508321808,excitatory
slow,V2aB,45+,-0.12,0.5754732583124393,0.04781047126523574,excitatory
slow,V2aB,45+,-0.11,0.5792092018432211,0.042812667784395346,excitatory
slow,V2aB,45+,-0.1,0.5805378280743014,0.041622461953326834,excitatory
slow,V2aB,45+,-0.09,0.5835440676887822,0.04148933284475266,excitatory
slow,V2aB,45+,-0.08,0.5844753939359917,0.04279788266839628,excitatory
slow,V2aB,45+,-0.07,0.5796538664379147,0.044154717221146965,excitatory
slow,V2aB,45+,-0.0599999999999999,0.579880222460008,0.04536397449619846,excitatory
slow,V2aB,45+,-0.0499999999999999,0.5806178224811052,0.04668573766600645,excitatory
slow,V2aB,45+,-0.04,0.5793968380168745,0.047496910264205876,excitatory
slow,V2aB,45+,-0.03,0.5782061441379608,0.04632628515560831,excitatory
slow,V2aB,45+,-0.02,0.5736841408100349,0.04186829981976683,excitatory
slow,V2aB,45+,-0.01,0.557931061001533,0.03964243743227437,excitatory
slow,V2aB,45+,0,0.5459235017872947,0.041263304964606576,excitatory
slow,V2aB,45+,0.01,0.5341988494476291,0.042625752220454796,excitatory
slow,V2aB,45+,0.02,0.5155008549159292,0.04020873888605772,excitatory
slow,V2aB,45+,0.03,0.5000052656763231,0.0394156599281956,excitatory
slow,V2aB,45+,0.04,0.48041967522776263,0.03684461456698898,excitatory
